sample,ch0,ch1,ch2,ch3,ch0_v,ch1_v,ch2_v,ch3_v
143,-605901,-586348,-628001,-607323,-0.173349667,-0.167755508,-0.179672527,-0.173756504
144,-606209,-636796,-579325,-607472,-0.173437786,-0.182188797,-0.165746212,-0.173799133
145,-606029,-634472,-581383,-607355,-0.173386288,-0.181523895,-0.166335011,-0.173765659
146,-606198,-618007,-597074,-607344,-0.173434639,-0.176813221,-0.170824242,-0.173762512
147,-605912,-597308,-617073,-607694,-0.173352814,-0.170891190,-0.176546001,-0.173862648
148,-606209,-602687,-612246,-607387,-0.173437786,-0.172430134,-0.175164986,-0.173774815
149,-605986,-623396,-591812,-607493,-0.173373985,-0.178355026,-0.169318771,-0.173805141
150,-606283,-636881,-579304,-607026,-0.173458958,-0.182213116,-0.165740204,-0.173671532
151,-606124,-634801,-581266,-607567,-0.173413467,-0.181618023,-0.166301537,-0.173826313
152,-606114,-584195,-629921,-607164,-0.173410606,-0.167139530,-0.180221844,-0.173711014
153,-606050,-586263,-627598,-607472,-0.173392296,-0.167731190,-0.179557228,-0.173799133
154,-606198,-602347,-612172,-607365,-0.173434639,-0.172332859,-0.175143814,-0.173768520
155,-606039,-623375,-591971,-607005,-0.173389149,-0.178349018,-0.169364262,-0.173665524
156,-606135,-618314,-596608,-607238,-0.173416615,-0.176901054,-0.170690918,-0.173732185
157,-605944,-597478,-616925,-607164,-0.173361969,-0.170939827,-0.176503658,-0.173711014
158,-606220,-584163,-629953,-606920,-0.173440933,-0.167130375,-0.180230999,-0.173641205
159,-605986,-586401,-627799,-607249,-0.173373985,-0.167770672,-0.179614735,-0.173735332
160,-606050,-636467,-579166,-607270,-0.173392296,-0.182094669,-0.165700722,-0.173741341
161,-606156,-634525,-581330,-607249,-0.173422623,-0.181539059,-0.166319847,-0.173735332
162,-605923,-618113,-596894,-607355,-0.173355961,-0.176843548,-0.170772743,-0.173765659
163,-606103,-597329,-616988,-607408,-0.173407459,-0.170897198,-0.176521683,-0.173780823
164,-606103,-602358,-612076,-607291,-0.173407459,-0.172336006,-0.175116348,-0.173747349
165,-606135,-623301,-592226,-607482,-0.173416615,-0.178327847,-0.169437218,-0.173801994
166,-606092,-636520,-579304,-607419,-0.173404312,-0.182109833,-0.165740204,-0.173783970
167,-606124,-634281,-581330,-607249,-0.173413467,-0.181469250,-0.166319847,-0.173735332
168,-606007,-583654,-629826,-607259,-0.173379993,-0.166984749,-0.180194664,-0.173738194
169,-605976,-586221,-627958,-607291,-0.173371124,-0.167719173,-0.179660225,-0.173747349
170,-606230,-602199,-612182,-607249,-0.173443794,-0.172290516,-0.175146675,-0.173735332
171,-605954,-623301,-592247,-607228,-0.173364830,-0.178327847,-0.169443226,-0.173729324
172,-605838,-618219,-596682,-607228,-0.173331642,-0.176873875,-0.170712090,-0.173729324
173,-605912,-597287,-616840,-607450,-0.173352814,-0.170885181,-0.176479340,-0.173792839
174,-606114,-584237,-629772,-607228,-0.173410606,-0.167151546,-0.180179214,-0.173729324
175,-606124,-586285,-628075,-607238,-0.173413467,-0.167737484,-0.179693699,-0.173732185
176,-606209,-636499,-579516,-607111,-0.173437786,-0.182103825,-0.165800858,-0.173695850
177,-606198,-634292,-581033,-607270,-0.173434639,-0.181472397,-0.166234875,-0.173741341
178,-606177,-617922,-596830,-607100,-0.173428631,-0.176788902,-0.170754433,-0.173692703
179,-606198,-597255,-617031,-607206,-0.173434639,-0.170876026,-0.176533985,-0.173723030
180,-606103,-602220,-612129,-607334,-0.173407459,-0.172296524,-0.175131512,-0.173759651
181,-606230,-623173,-592290,-607206,-0.173443794,-0.178291225,-0.169455528,-0.173723030
182,-605986,-636509,-579261,-607514,-0.173373985,-0.182106686,-0.165727901,-0.173811150
183,-606135,-634239,-581426,-607100,-0.173416615,-0.181457233,-0.166347313,-0.173692703
184,-606082,-583738,-630027,-607482,-0.173401451,-0.167008781,-0.180252171,-0.173801994
185,-605933,-585903,-628086,-607153,-0.173358822,-0.167628193,-0.179696846,-0.173707867
186,-606167,-602411,-612373,-607312,-0.173425770,-0.172351170,-0.175201321,-0.173753357
187,-606018,-622887,-592152,-607334,-0.173383141,-0.178209400,-0.169416046,-0.173759651
188,-605997,-618049,-596873,-607546,-0.173377132,-0.176825237,-0.170766735,-0.173820305
189,-606135,-597149,-617052,-607525,-0.173416615,-0.170845699,-0.176539993,-0.173814297
190,-606039,-584110,-629698,-607387,-0.173389149,-0.167115211,-0.180158043,-0.173774815
191,-606167,-585860,-628033,-607281,-0.173425770,-0.167615891,-0.179681683,-0.173744488
192,-606273,-636297,-579198,-607365,-0.173456097,-0.182046032,-0.165709877,-0.173768520
193,-605859,-634239,-581426,-607323,-0.173337650,-0.181457233,-0.166347313,-0.173756504
194,-605891,-617975,-596799,-607387,-0.173346806,-0.176804066,-0.170745564,-0.173774815
195,-605742,-596926,-617169,-607153,-0.173304176,-0.170781898,-0.176573467,-0.173707867
196,-606103,-602315,-612172,-607344,-0.173407459,-0.172323704,-0.175143814,-0.173762512
197,-606209,-623036,-591844,-607217,-0.173437786,-0.178252029,-0.169327927,-0.173726177
198,-605615,-636435,-579166,-607514,-0.173267841,-0.182085514,-0.165700722,-0.173811150
199,-606273,-633963,-581288,-607132,-0.173456097,-0.181378269,-0.166307831,-0.173701859
200,-605838,-583876,-629921,-607143,-0.173331642,-0.167048264,-0.180221844,-0.173705006
201,-606061,-585797,-627704,-607143,-0.173395443,-0.167597866,-0.179587555,-0.173705006
202,-605954,-602390,-612532,-607291,-0.173364830,-0.172345161,-0.175246811,-0.173747349
203,-606029,-623014,-592215,-607461,-0.173386288,-0.178245735,-0.169434071,-0.173795986
204,-606071,-617985,-596777,-607323,-0.173398304,-0.176806927,-0.170739269,-0.173756504
205,-606198,-597064,-616850,-607238,-0.173434639,-0.170821381,-0.176482201,-0.173732185
206,-605774,-584057,-629762,-607238,-0.173313332,-0.167100048,-0.180176353,-0.173732185
207,-606220,-586232,-627619,-607450,-0.173440933,-0.167722321,-0.179563236,-0.173792839
208,-606061,-636382,-579325,-607164,-0.173395443,-0.182070351,-0.165746212,-0.173711014
209,-605817,-634281,-581266,-607270,-0.173325634,-0.181469250,-0.166301537,-0.173741341
210,-605954,-618081,-597011,-607121,-0.173364830,-0.176834393,-0.170806217,-0.173698711
211,-605859,-597000,-617232,-607238,-0.173337650,-0.170803070,-0.176591492,-0.173732185
212,-605742,-602326,-612246,-607472,-0.173304176,-0.172326851,-0.175164986,-0.173799133
213,-606177,-623311,-591929,-607376,-0.173428631,-0.178330708,-0.169352245,-0.173771667
214,-606061,-636732,-579102,-607238,-0.173395443,-0.182170486,-0.165682411,-0.173732185
215,-606135,-634260,-581298,-607217,-0.173416615,-0.181463242,-0.166310692,-0.173726177
216,-605891,-584078,-629645,-607249,-0.173346806,-0.167106056,-0.180142879,-0.173735332
217,-605954,-586147,-628086,-607567,-0.173364830,-0.167698002,-0.179696846,-0.173826313
218,-606082,-602358,-612320,-607259,-0.173401451,-0.172336006,-0.175186157,-0.173738194
219,-606114,-623439,-592258,-607408,-0.173410606,-0.178367329,-0.169446373,-0.173780823
220,-606007,-617996,-596968,-607408,-0.173379993,-0.176810074,-0.170793915,-0.173780823
221,-605891,-597180,-616946,-607228,-0.173346806,-0.170854568,-0.176509666,-0.173729324
222,-605923,-584089,-630017,-607408,-0.173355961,-0.167109203,-0.180249310,-0.173780823
223,-605912,-586200,-627905,-607387,-0.173352814,-0.167713165,-0.179645061,-0.173774815
224,-606007,-636616,-579420,-607312,-0.173379993,-0.182137299,-0.165773392,-0.173753357
225,-606252,-634568,-581235,-607546,-0.173450089,-0.181551361,-0.166292667,-0.173820305
226,-605763,-618208,-596958,-607546,-0.173310184,-0.176870728,-0.170791054,-0.173820305
227,-605870,-597308,-616935,-607535,-0.173340797,-0.170891190,-0.176506519,-0.173817158
228,-605944,-602559,-612426,-607302,-0.173361969,-0.172393513,-0.175216484,-0.173750496
229,-606061,-623333,-592247,-607440,-0.173395443,-0.178337002,-0.169443226,-0.173789978
230,-606167,-636817,-579304,-607058,-0.173425770,-0.182194805,-0.165740204,-0.173680687
231,-605986,-634292,-581107,-607323,-0.173373985,-0.181472397,-0.166256046,-0.173756504
232,-605817,-584279,-629741,-607228,-0.173325634,-0.167163563,-0.180170345,-0.173729324
233,-605763,-586115,-627948,-607132,-0.173310184,-0.167688847,-0.179657364,-0.173701859
234,-606018,-602591,-612087,-607259,-0.173383141,-0.172402668,-0.175119495,-0.173738194
235,-605891,-623386,-592194,-607228,-0.173346806,-0.178352165,-0.169428062,-0.173729324
236,-606252,-618505,-596905,-607270,-0.173450089,-0.176955700,-0.170775890,-0.173741341
237,-606124,-597732,-616967,-607461,-0.173413467,-0.171012497,-0.176515675,-0.173795986
238,-606092,-584152,-629709,-607259,-0.173404312,-0.167127228,-0.180161190,-0.173738194
239,-606156,-586253,-627831,-607291,-0.173422623,-0.167728329,-0.179623890,-0.173747349
240,-606018,-636711,-579357,-607355,-0.173383141,-0.182164478,-0.165755367,-0.173765659
241,-606156,-634472,-581341,-607376,-0.173422623,-0.181523895,-0.166322994,-0.173771667
